x,y
5572.5000000000,0.0391650846
5572.0000000000,0.0383370084
5571.5000000000,0.0373038054
5571.0000000000,0.0371490058
5570.5000000000,0.0373554157
5570.0000000000,0.0375102782
5569.5000000000,0.0376651878
5569.0000000000,0.0375102782
5568.5000000000,0.0378718073
5568.0000000000,0.0369426796
5567.5000000000,0.0375619095
5567.0000000000,0.0376135460
5566.5000000000,0.0368911111
5566.0000000000,0.0376135460
5565.5000000000,0.0373554157
5565.0000000000,0.0374586521
5564.5000000000,0.0372522003
5564.0000000000,0.0375102782
5563.5000000000,0.0374070313
5563.0000000000,0.0365818100
5562.5000000000,0.0373038054
5562.0000000000,0.0375102782
5561.5000000000,0.0378201446
5561.0000000000,0.0381301999
5560.5000000000,0.0373038054
5560.0000000000,0.0367879899
5559.5000000000,0.0379234753
5559.0000000000,0.0379234753
5558.5000000000,0.0377168348
5558.0000000000,0.0381818941
5557.5000000000,0.0372522003
5557.0000000000,0.0373554157
5556.5000000000,0.0370974164
5556.0000000000,0.0373038054
5555.5000000000,0.0373554157
5555.0000000000,0.0385956375
5554.5000000000,0.0400463952
5554.0000000000,0.0437437591
5553.5000000000,0.0597240276
5553.0000000000,0.1649863739
5552.5000000000,0.1505984193
5552.0000000000,0.0813178610
5551.5000000000,0.0486805757
5551.0000000000,0.0427516870
5550.5000000000,0.0411371854
5550.0000000000,0.0404616585
5549.5000000000,0.0529201975
5549.0000000000,0.0933897232
5548.5000000000,0.0734447096
5548.0000000000,0.0505840337
5547.5000000000,0.0420740139
5547.0000000000,0.0402539845
5546.5000000000,0.0392168842
5546.0000000000,0.0382335936
5545.5000000000,0.0377684871
5545.0000000000,0.0373038054
5544.5000000000,0.0375102782
5544.0000000000,0.0379751486
5543.5000000000,0.0378201446
5543.0000000000,0.0371490058
5542.5000000000,0.0374070313
5542.0000000000,0.0374586521
5541.5000000000,0.0375102782
5541.0000000000,0.0367879899
5540.5000000000,0.0367879899
5540.0000000000,0.0370974164
5539.5000000000,0.0365302781
5539.0000000000,0.0364787514
5538.5000000000,0.0366333471
5538.0000000000,0.0365302781
5537.5000000000,0.0358093791
5537.0000000000,0.0356035954
5536.5000000000,0.0372006004
5536.0000000000,0.0372006004
5535.5000000000,0.0374586521
5535.0000000000,0.0367879899
5534.5000000000,0.0372522003
5534.0000000000,0.0373038054
5533.5000000000,0.0363757137
5533.0000000000,0.0369426796
5532.5000000000,0.0365302781
5532.0000000000,0.0369942533
5531.5000000000,0.0370974164
5531.0000000000,0.0379751486
5530.5000000000,0.0366848895
5530.0000000000,0.0374586521
5529.5000000000,0.0374586521
5529.0000000000,0.0369426796
5528.5000000000,0.0364272299
5528.0000000000,0.0377168348
5527.5000000000,0.0386473790
5527.0000000000,0.0411891862
5526.5000000000,0.0816556071
5526.0000000000,0.1388067190
5525.5000000000,0.0866351574
5525.0000000000,0.0491557729
5524.5000000000,0.0389061660
5524.0000000000,0.0381301999
5523.5000000000,0.0373554157
5523.0000000000,0.0381818941
5522.5000000000,0.0634047828
5522.0000000000,0.0669482266
5521.5000000000,0.0483112847
5521.0000000000,0.0395796288
5520.5000000000,0.0370974164
5520.0000000000,0.0370458322
5519.5000000000,0.0365302781
5519.0000000000,0.0366333471
5518.5000000000,0.0375102782
5518.0000000000,0.0358093791
5517.5000000000,0.0353464829
5517.0000000000,0.0348326475
5516.5000000000,0.0364787514
5516.0000000000,0.0368395479
5515.5000000000,0.0375619095
5515.0000000000,0.0366848895
5514.5000000000,0.0367364371
5514.0000000000,0.0364272299
5513.5000000000,0.0371490058
5513.0000000000,0.0366333471
5512.5000000000,0.0365302781
5512.0000000000,0.0375102782
5511.5000000000,0.0368395479
5511.0000000000,0.0363757137
5510.5000000000,0.0366848895
5510.0000000000,0.0366848895
5509.5000000000,0.0366333471
5509.0000000000,0.0337040333
5508.5000000000,0.0340115889
5508.0000000000,0.0356035954
5507.5000000000,0.0362726968
5507.0000000000,0.0365302781
5506.5000000000,0.0363757137
5506.0000000000,0.0373038054
5505.5000000000,0.0384921701
5505.0000000000,0.0380785109
5504.5000000000,0.0386991259
5504.0000000000,0.0385439011
5503.5000000000,0.0386991259
5503.0000000000,0.0389061660
5502.5000000000,0.0381818941
5502.0000000000,0.0377684871
5501.5000000000,0.0386473790
5501.0000000000,0.0404616585
5500.5000000000,0.0387508780
5500.0000000000,0.0377684871
5499.5000000000,0.0382852984
5499.0000000000,0.0412932037
5498.5000000000,0.0809803389
5498.0000000000,0.0939086024
5497.5000000000,0.0599398068
5497.0000000000,0.0410851899
5496.5000000000,0.0383887237
5496.0000000000,0.0379234753
5495.5000000000,0.0374070313
5495.0000000000,0.0397870276
5494.5000000000,0.0559626331
5494.0000000000,0.0446330458
5493.5000000000,0.0358608380
5493.0000000000,0.0353464829
5492.5000000000,0.0358608380
5492.0000000000,0.0374070313
5491.5000000000,0.0363242027
5491.0000000000,0.0345245952
5490.5000000000,0.0346785980
5490.0000000000,0.0367879899
5489.5000000000,0.0340115889
5489.0000000000,0.0339090497
5488.5000000000,0.0357064768
5488.0000000000,0.0368911111
5487.5000000000,0.0359123021
5487.0000000000,0.0354493123
5486.5000000000,0.0361182107
5486.0000000000,0.0369942533
5485.5000000000,0.0366333471
5485.0000000000,0.0371490058
5484.5000000000,0.0370974164
5484.0000000000,0.0364787514
5483.5000000000,0.0368911111
5483.0000000000,0.0365818100
5482.5000000000,0.0370458322
5482.0000000000,0.0365818100
5481.5000000000,0.0365818100
5481.0000000000,0.0365302781
5480.5000000000,0.0367879899
5480.0000000000,0.0368395479
5479.5000000000,0.0367879899
5479.0000000000,0.0370458322
5478.5000000000,0.0361697009
5478.0000000000,0.0364272299
5477.5000000000,0.0363242027
5477.0000000000,0.0328336343
5476.5000000000,0.0271361734
5476.0000000000,0.0281489078
5475.5000000000,0.0340115889
5475.0000000000,0.0360152460
5474.5000000000,0.0362726968
5474.0000000000,0.0372006004
5473.5000000000,0.0370974164
5473.0000000000,0.0367879899
5472.5000000000,0.0367364371
5472.0000000000,0.0368395479
5471.5000000000,0.0363242027
5471.0000000000,0.0356550335
5470.5000000000,0.0356035954
5470.0000000000,0.0369942533
5469.5000000000,0.0614528302
5469.0000000000,0.0660190934
5468.5000000000,0.0462586996
5468.0000000000,0.0362211962
5467.5000000000,0.0370974164
5467.0000000000,0.0366848895
5466.5000000000,0.0368395479
5466.0000000000,0.0391650846
5465.5000000000,0.0474155496
5465.0000000000,0.0407213704
5464.5000000000,0.0365302781
5464.0000000000,0.0370458322
5463.5000000000,0.0368911111
